"source_file","series_id","upload_date","file_created","home_team","away_team","scoreboard_team","opponent","team_score","opponent_score","player","score","goals","assists","saves","shots","ping","needs_review"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","A BEST FRIEND CLUB","SPIRIT AIRLINES","0","1","i-have_a_bag","337","0","0","2","2","0","False"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","A BEST FRIEND CLUB","SPIRIT AIRLINES","0","1","greenarrowspark2","302","0","1","1","0","36","False"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","SPIRIT AIRLINES","A BEST FRIEND CLUB","1","0","JulietAlphaRomeo","405","1","0","1","4","0","False"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","SPIRIT AIRLINES","A BEST FRIEND CLUB","1","0","GTI GTdail","236","0","0","0","2","48","False"
"8_1782234079504.png","8","2026-06-23 13:01:19","2026-06-23 13:01:18","","","SPIRIT AIRLINES","A BEST FRIEND CLUB","1","0","MadJanitor88","194","0","0","0","1","0","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","A BEST FRI ND CLUB","& [GTI GTDAIL","0","1","TheLakeEffekt","564","2","1","3","3","48","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","A BEST FRI ND CLUB","& [GTI GTDAIL","0","1","greenarrowspark2","456","1","0","3","2","36","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","A BEST FRI ND CLUB","& [GTI GTDAIL","0","1","i_have_a_bag","352","0","1","2","3","44","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","& [GTI GTDAIL","A BEST FRI ND CLUB","1","0","GTI GTdail","282","1","0","0","5","0","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","& [GTI GTDAIL","A BEST FRI ND CLUB","1","0","GTI JulietAlphaRomeo","250","0","1","1","2","32","False"
"8_1782234080562.png","8","2026-06-23 13:01:20","2026-06-23 13:01:20","","","& [GTI GTDAIL","A BEST FRI ND CLUB","1","0","MadJanitor88","158","0","0","1","1","52","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","SPIRIT AIRLINES","H BEST FRIEND CLUB","0","0","JulietAlphaRomeo","616","3","2","0","4","28","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","SPIRIT AIRLINES","H BEST FRIEND CLUB","0","0","GTdail","416","1","1","2","3","48","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","SPIRIT AIRLINES","H BEST FRIEND CLUB","0","0","GTI MadJanitor88","316","2","0","0","2","56","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","H BEST FRIEND CLUB","SPIRIT AIRLINES","0","0","010TH i-have_a_bag","493","3","0","1","5","40","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","H BEST FRIEND CLUB","SPIRIT AIRLINES","0","0","greenarrowspark2","351","0","2","1","2","36","False"
"8_1782234082195.png","8","2026-06-23 13:01:22","2026-06-23 13:01:22","","","H BEST FRIEND CLUB","SPIRIT AIRLINES","0","0","TheLakeEffekt","299","1","0","1","3","44","False"
"8_1782234083374.png","8","2026-06-23 13:01:23","2026-06-23 13:01:22","","","SPIRIT AIRLINES","& [OVA] I-HAVE_A_BAG","0","1","JulietAlphaRomeo","541","2","1","1","4","40","False"
"8_1782234083374.png","8","2026-06-23 13:01:23","2026-06-23 13:01:22","","","SPIRIT AIRLINES","& [OVA] I-HAVE_A_BAG","0","1","GTI GTdail","540","2","1","2","3","0","False"
"8_1782234083374.png","8","2026-06-23 13:01:23","2026-06-23 13:01:22","","","& [OVA] I-HAVE_A_BAG","SPIRIT AIRLINES","1","0","i-have_a_bag","302","1","0","1","4","76","False"
"8_1782234083374.png","8","2026-06-23 13:01:23","2026-06-23 13:01:22","","","& [OVA] I-HAVE_A_BAG","SPIRIT AIRLINES","1","0","greenarrowspark2","293","0","1","2","0","28","False"
"8_1782234083374.png","8","2026-06-23 13:01:23","2026-06-23 13:01:22","","","& [OVA] I-HAVE_A_BAG","SPIRIT AIRLINES","1","0","TheLakeEffekt","112","0","0","0","0","40","False"
"8_1782234085320.png","8","2026-06-23 13:01:25","2026-06-23 13:01:24","","","BEST FRIEND CLUB","SPIRIT AIRLINES","0","1","i_have_a_bag","286","1","1","0","2","44","False"
"8_1782234085320.png","8","2026-06-23 13:01:25","2026-06-23 13:01:24","","","BEST FRIEND CLUB","SPIRIT AIRLINES","0","1","greenarrowspark2","285","1","0","0","4","28","False"
